decimalLongitude,decimalLatitude,species
1.3392297757241,38.8622583623033,Asphodelus aestivus
1.35075097668726,38.8624216692073,Asphodelus aestivus
1.40956206884505,38.8091729703111,Asphodelus aestivus
1.4190816655834,38.8994096877326,Asphodelus aestivus
1.51616884157229,38.6663997757994,Asphodelus aestivus
1.50998626353711,38.9636804647641,Asphodelus aestivus
1.5738019882427,38.6581056999902,Asphodelus aestivus
2.32352725640523,39.5839609353071,Asphodelus aestivus
2.34664574483375,39.6021136898969,Asphodelus aestivus
2.4171317898858,39.5304063182888,Asphodelus aestivus
2.42810101700056,39.6115534319642,Asphodelus aestivus
2.43967707804451,39.6206200658703,Asphodelus aestivus
2.45132732499506,39.6206756738969,Asphodelus aestivus
2.45125616017019,39.6296855531776,Asphodelus aestivus
2.45111373456044,39.6477052694528,Asphodelus aestivus
2.46325590688059,39.5846903863894,Asphodelus aestivus
2.463186378014,39.5937003393413,Asphodelus aestivus
2.46311681790722,39.6027102782059,Asphodelus aestivus
2.46304722654472,39.6117202029825,Asphodelus aestivus
2.46283826476725,39.6387498927747,Asphodelus aestivus
2.46276854822617,39.6477597611901,Asphodelus aestivus
2.47578167445893,39.467612700578,Asphodelus aestivus
2.47571404973464,39.4766228534556,Asphodelus aestivus
2.47544324702776,39.5126633242429,Asphodelus aestivus
2.47517195750105,39.5487035698304,Asphodelus aestivus
2.47476410830567,39.6027635158385,Asphodelus aestivus
2.47469602650612,39.6117734575517,Asphodelus aestivus
2.47462791411356,39.6207833851803,Asphodelus aestivus
2.47442339322541,39.6478130835495,Asphodelus aestivus
2.48740643292672,39.4676645227092,Asphodelus aestivus
2.48707550945323,39.5127152289261,Asphodelus aestivus
2.4870092355626,39.5217253279607,Asphodelus aestivus
2.48694293190555,39.5307354129236,Asphodelus aestivus
2.4868765984673,39.539745483814,Asphodelus aestivus
2.48667741931734,39.5667756120412,Asphodelus aestivus
2.48661096660623,39.5757856266326,Asphodelus aestivus
2.48621162285857,39.6298454185353,Asphodelus aestivus
2.48614496084828,39.63885533457,Asphodelus aestivus
2.48607826887854,39.6478652365217,Asphodelus aestivus
2.48601154693442,39.6568751243895,Asphodelus aestivus
2.49903122107236,39.4677151828621,Asphodelus aestivus
2.49857823041489,39.5307861860869,Asphodelus aestivus
